,Node1,Relation,Node2,Subject,Label,Entity
0,Graphic design,CLOSELY_RELATED_TO,web development,"['Communication_design', 'Graphic_design']",['Graphic design'],['Election']
1,Web design,CLOSELY_RELATED_TO,web development,"['Communication_design', 'Web_design']",['Web design'],['Whole100003553']
2,Information architecture,CLOSELY_RELATED_TO,web development,"['Information_technology', 'Information_architects', 'Enterprise_architecture', 'WikiProject_Information_Architecture', 'Data_management', 'Information_governance', 'Information_science', 'Information_technology_management', 'Records_management', 'Technical_communication']",['Information architecture'],['WikicatInformationArchitects']
3,Copywriting,CLOSELY_RELATED_TO,web development,"['Journalism_occupations', 'Advertising_occupations', 'Communication_design', 'Copywriters']",['Copywriting'],['company']
4,Copyediting,CLOSELY_RELATED_TO,web development,"['Journalism_occupations', 'Copy_editing', 'Technical_communication', 'Writing_occupations', 'Types_of_editors']",['Copy editing'],['book']
5,Usability,CLOSELY_RELATED_TO,web development,"['Usability', 'Human–computer_interaction', 'Technical_communication']",['Usability'],['Thing']
6,Web accessibility,CLOSELY_RELATED_TO,web development,"['Usability', 'Accessible_information', 'Web_accessibility', 'Web_design']",['Web accessibility'],['Part113809207']
7,Search engine optimization,CLOSELY_RELATED_TO,web development,"['Internet_marketing', 'Web_analytics', 'Internet_terminology', 'Search_engine_optimization']",['Search engine optimization'],['Election']
8,Software testing,CLOSELY_RELATED_TO,web development,"['Computer_occupations', 'Software_testing']",['Software testing'],['person']
9,Outline of web design and web development,SEE_ALSO,web development,[],[],[]
10,Web design,SEE_ALSO,web development,"['Communication_design', 'Web_design']",['Web design'],['Whole100003553']
11,Web development tools,SEE_ALSO,web development,"['Web_development', 'Computer_programming_tools']",['Web development tools'],['Thing']
12,Web application development,SEE_ALSO,web development,"['Web_development', 'Web_applications']",['Web application development'],['Election']
13,Web developer,SEE_ALSO,web development,"['Web_development', 'Computer_occupations']",['Web developer'],['person']
14,Internet,SEE_ALSO,web development,"['1969_establishments_in_the_United_States', 'American_inventions', 'Computer-related_introductions_in_1969', 'Computer-related_introductions_in_1989', 'Cultural_globalization', 'Digital_technology', 'Internet', 'Media_technology', 'New_media', 'Public_services', 'Telegraphy', 'Transport_systems', 'Virtual_reality']",['Internet'],['Thing']
15,Intranet,SEE_ALSO,web development,"['Internet_privacy', 'Computer_networks']",['Intranet'],['Thing']
16,History of printing,CLOSELY_RELATED_TO,graphic design,"['History_of_science_by_discipline', 'Textual_scholarship', 'History_of_printing', 'History_of_writing']",['History of printing'],['Thing']
17,Typography,CLOSELY_RELATED_TO,graphic design,"['Text', 'Communication_design', 'Design', 'Graphic_design', 'Philatelic_terminology', 'Typography']",['Typography'],['person']
18,Page layout,CLOSELY_RELATED_TO,graphic design,"['Page_layout', 'Book_arts', 'Communication_design', 'Composition_in_visual_art', 'Graphic_design']",['Page layout'],['Creation103129123']
19,Printmaking,CLOSELY_RELATED_TO,graphic design,"['Art_media', 'Printing', 'Printmaking']",['Printmaking'],['Election']
20,User interface design,CLOSELY_RELATED_TO,graphic design,"['Usability', 'User_interfaces', 'Graphic_design', 'Industrial_design']",['User interface design'],['CodingSystem106353757']
21,User experience design,CLOSELY_RELATED_TO,graphic design,"['User_interfaces', 'Design', 'Human–computer_interaction', 'Software_development_process', 'Web_design']",['User experience design'],['Election']
22,Crowdsourcing creative work,CLOSELY_RELATED_TO,graphic design,"['Crowdsourcing', 'Creative_works']",['Crowdsourcing creative work'],['Election']
23,Browser wars,CLOSELY_RELATED_TO,web design,"['Software_wars', 'Web_browsers']",['Browser wars'],['soccer tournoment']
24,Typography,CLOSELY_RELATED_TO,web design,"['Text', 'Communication_design', 'Design', 'Graphic_design', 'Philatelic_terminology', 'Typography']",['Typography'],['person']
25,Static web page,CLOSELY_RELATED_TO,web design,['Web_development'],['Static web page'],['work']
26,Dynamic web page,CLOSELY_RELATED_TO,web design,['Web_development'],['Dynamic web page'],['work']
27,Graphic designers,CLOSELY_RELATED_TO,web design,"['Graphic_designers', 'Computer_occupations', 'Media_occupations', 'Visual_arts_occupations']",['Graphic designer'],['person']
28,User experience design,CLOSELY_RELATED_TO,web design,"['User_interfaces', 'Design', 'Human–computer_interaction', 'Software_development_process', 'Web_design']",['User experience design'],['Election']
29,Aesthetics,SEE_ALSO,web design,['Aesthetics'],['Aesthetics'],['book']
30,Color theory,SEE_ALSO,web design,"['Color', 'Color_space']",['Color theory'],['organisation']
31,Composition (visual arts),SEE_ALSO,web design,"['Artistic_techniques', 'Composition_in_visual_art', 'Photographic_techniques']",['Composition (visual arts)'],['Technique105665146']
32,Cross-browser,SEE_ALSO,web design,['Web_browsers'],['Cross-browser'],['CodingSystem106353757']
33,Design education,SEE_ALSO,web design,['Design'],['Design education'],['university']
34,Design principles and elements,SEE_ALSO,web design,['Design'],['Visual design elements and principles'],['Thing']
35,Drawing,SEE_ALSO,web design,['Drawing'],['Drawing'],['Thing']
36,Dark pattern,SEE_ALSO,web design,[],[],[]
37,European Design Awards,SEE_ALSO,web design,[],[],[]
38,First Things First 2000 manifesto,SEE_ALSO,web design,[],[],[]
39,Richard Saul Wurman,CLOSELY_RELATED_TO,information architecture,[],[],[]
40,Peter Morville,CLOSELY_RELATED_TO,information architecture,[],[],[]
41,Louis Rosenfeld,CLOSELY_RELATED_TO,information architecture,[],[],[]
42,Jesse James Garrett,CLOSELY_RELATED_TO,information architecture,[],[],[]
43,Adam Greenfield,CLOSELY_RELATED_TO,information architecture,[],[],[]
44,Christina Wodtke,CLOSELY_RELATED_TO,information architecture,[],[],[]
45,Applications architecture,SEE_ALSO,information architecture,['Enterprise_architecture'],['Applications architecture'],['protein']
46,Card sorting,SEE_ALSO,information architecture,"['Usability', 'Human–computer_interaction', 'Folksonomy']",['Card sorting'],['topical concept']
47,Chief experience officer,SEE_ALSO,information architecture,"['Corporate_executives', 'Management_occupations']",['Chief experience officer'],['person']
48,Content management,SEE_ALSO,information architecture,"['Content_management_systems', 'Data_management', 'Technical_communication']",['Content management'],['System104377057']
49,Content strategy,SEE_ALSO,information architecture,['Web_development'],['Content strategy'],['Thing']
50,Controlled vocabulary,SEE_ALSO,information architecture,"['Controlled_vocabularies', 'Information_science', 'Knowledge_representation', 'Library_cataloging_and_classification', 'Ontology_(information_science)', 'Semantic_Web', 'Technical_communication', 'Information_retrieval_techniques']",['Controlled vocabulary'],['Creation103129123']
51,Data management,SEE_ALSO,information architecture,"['Data_management', 'Information_technology_management']",['Data management'],['Situation113927383']
52,Data presentation architecture,SEE_ALSO,information architecture,"['Visualization_(graphic)', 'Data', 'Statistical_charts_and_diagrams', 'Information_technology_governance']",['Data visualization'],['Information105816287']
53,Digital humanities,SEE_ALSO,information architecture,['Digital_humanities'],['Digital humanities'],['place']
54,Ecological interface design,SEE_ALSO,information architecture,"['Ergonomics', 'Human–computer_interaction']",['Ecological interface design'],['organisation']
55,Enterprise information security architecture,SEE_ALSO,information architecture,"['Enterprise_architecture', 'Computer_security']",['Enterprise information security architecture'],['Thing']
56,Faceted classification,SEE_ALSO,information architecture,"['Knowledge_representation', 'Library_cataloging_and_classification']",['Faceted classification'],['organisation']
57,Human factors and ergonomics,SEE_ALSO,information architecture,"['Ergonomics', 'Industrial_engineering', 'Occupational_safety_and_health', 'Systems_psychology']",['Human factors and ergonomics'],['company']
58,Informatics,SEE_ALSO,information architecture,"['Computer_science_education', 'Schools_of_informatics', 'Artificial_intelligence', 'Cognitive_science', 'Information_science']",['Informatics'],['work']
59,Interaction design,SEE_ALSO,information architecture,"['Usability', 'Design', 'Human–computer_interaction', 'Multimodal_interaction', 'Technical_communication']",['Interaction design'],['CodingSystem106353757']
60,Process architecture,SEE_ALSO,information architecture,"['Quality', 'Systems_engineering', 'Systems_theory']",['Process architecture'],['Thing']
61,Site map,SEE_ALSO,information architecture,"['Search_engine_optimization', 'Web_design']",['Site map'],['Whole100003553']
62,Social information architecture,SEE_ALSO,information architecture,"['Information_technology', 'Information_architects', 'Data_management', 'Digital_technology', 'Information_science', 'New_media', 'World_Wide_Web']",['Social information architecture'],['WikicatInformationArchitects']
63,Tree testing,SEE_ALSO,information architecture,"['Usability', 'Software_testing', 'Web_design']",['Tree testing'],['topical concept']
64,User experience design,SEE_ALSO,information architecture,"['User_interfaces', 'Design', 'Human–computer_interaction', 'Software_development_process', 'Web_design']",['User experience design'],['Election']
65,Visualization (graphics),SEE_ALSO,information architecture,"['Visualization_(graphic)', 'Computational_science', 'Computer_graphics', 'Data_modeling', 'Infographics']",['Visualization (graphics)'],['Thing']
66,Wayfinding,SEE_ALSO,information architecture,"['Footpaths', 'Psychogeography', 'Trails', 'Polynesian_navigation', 'Architectural_theory', 'Environmental_psychology']",['Wayfinding'],['Line108593262']
67,Web graph,SEE_ALSO,information architecture,"['Application-specific_graphs', 'World_Wide_Web']",['Webgraph'],['Communication100033020']
68,Web literacy,SEE_ALSO,information architecture,"['Computing_and_society', 'Literacy', 'Technology_in_society', 'World_Wide_Web']",['Web literacy'],['Thing']
69,Art director,CLOSELY_RELATED_TO,copywriting,"['Art_directors', 'Advertising_occupations', 'Theatrical_management', 'Computer_occupations', 'Filmmaking_occupations', 'Theatrical_occupations']",['Art director'],['Thing']
70,Creative director,CLOSELY_RELATED_TO,copywriting,"['Directors', 'Advertising_occupations', 'Arts_occupations', 'Business_occupations', 'Business_terms', 'Communication_design', 'Corporate_executives', 'Design_occupations']",['Creative director'],['person']
71,Search engine optimization,CLOSELY_RELATED_TO,copywriting,"['Internet_marketing', 'Web_analytics', 'Internet_terminology', 'Search_engine_optimization']",['Search engine optimization'],['Election']
72,Copy editing,CLOSELY_RELATED_TO,copywriting,"['Journalism_occupations', 'Copy_editing', 'Technical_communication', 'Writing_occupations', 'Types_of_editors']",['Copy editing'],['book']
73,Proofreading,CLOSELY_RELATED_TO,copywriting,['Proofreading'],['Proofreading'],['ship']
74,Fact checking,CLOSELY_RELATED_TO,copywriting,"['Journalism_occupations', 'Copy_editing', 'Newswriting']",['Fact checking'],['Thing']
75,Speechwriting,CLOSELY_RELATED_TO,copywriting,"['Speechwriters', 'Political_occupations', 'Writing_occupations']",['Speechwriter'],['person']
76,Page layout,CLOSELY_RELATED_TO,copywriting,"['Page_layout', 'Book_arts', 'Communication_design', 'Composition_in_visual_art', 'Graphic_design']",['Page layout'],['Creation103129123']
77,Content writing services,CLOSELY_RELATED_TO,copywriting,"['Articles_created_via_the_Article_Wizard', 'Occupations']",['Content writing services'],['river']
78,Landing page,CLOSELY_RELATED_TO,copywriting,"['Internet_marketing', 'Internet_advertising', 'Internet_terminology', 'Marketing', 'Compensation_methods', 'Internet_advertising_methods']",['Landing page'],['work']
79,Globalization,CLOSELY_RELATED_TO,copywriting,"['Economic_geography', 'Globalization', 'Interculturalism', 'Capitalism', 'Cultural_geography', 'International_trade', 'Theories_of_history']",['Globalization'],['Election']
80,Content marketing,CLOSELY_RELATED_TO,copywriting,"['Advertising_terminology', 'Marketing', 'Publishing', 'Types_of_marketing']",['Content marketing'],['Thing']
81,Web content development,CLOSELY_RELATED_TO,copywriting,"['Web_development', 'World_Wide_Web']",['Web content development'],['Election']
82,Advertising,SEE_ALSO,copywriting,"['Advertising', 'Articles_containing_video_clips', 'Branding_companies', 'Communication_design', 'Internet_advertising_services_and_affiliate_networks', 'Marketing', 'Media_manipulation_techniques', 'Product_design', 'Promotion_and_marketing_communications']",['Advertising'],['Thing']
83,Communication design,SEE_ALSO,copywriting,"['Packaging', 'Advertising_campaigns', 'Advertising', 'Communication_design', 'Communication_studies', 'Design', 'Promotion_and_marketing_communications', 'Writing']",['Communication design'],['sport']
84,Email marketing,SEE_ALSO,copywriting,"['Internet_marketing', 'Email', 'Market_research', 'Spamming']",['Email marketing'],['Thing']
85,Swipe file,SEE_ALSO,copywriting,['Advertising'],['Swipe file'],['book']
86,Cross-reference,CLOSELY_RELATED_TO,copyediting,['Reference'],['Cross-reference'],['Thing']
87,Table of contents,CLOSELY_RELATED_TO,copyediting,"['Index_(publishing)', 'Book_design', 'Technical_communication']",['Table of contents'],['Thing']
88,Bibliography,CLOSELY_RELATED_TO,copyediting,"['Bibliography', 'Book_design', 'Book_terminology', 'Textual_scholarship']",['Bibliography'],['Thing']
89,Author editing,SEE_ALSO,copyediting,"['Academic_publishing', 'Articles_created_via_the_Article_Wizard', 'Publishing', 'Academic_terminology', 'Editing']",['Author editing'],['Thing']
90,American Copy Editors Society,SEE_ALSO,copyediting,[],[],[]
91,AP Stylebook,SEE_ALSO,copyediting,"['Style_guides_for_American_English', 'Journalism_standards', 'Publications_established_in_1953', 'Associated_Press']",['AP Stylebook'],['work']
92,Headline,SEE_ALSO,copyediting,"['Headlines', 'Journalism_terminology']",['Headline'],['book']
93,News design,SEE_ALSO,copyediting,"['News_design', 'Copy_editing', 'Visual_journalism', 'Graphic_design']",['News design'],['Election']
94,Photo caption,SEE_ALSO,copyediting,"['News_design', 'Copy_editing', 'Photojournalism']",['Photo caption'],['railway line']
95,Proofreading,SEE_ALSO,copyediting,['Proofreading'],['Proofreading'],['ship']
96,Robinson Prize,SEE_ALSO,copyediting,[],[],[]
97,Learnability,CLOSELY_RELATED_TO,usability,['Software_testing'],['Learnability'],['WikicatTests']
98,Natural user interface,CLOSELY_RELATED_TO,usability,"['User_interfaces', 'History_of_human–computer_interaction']",['Natural user interface'],['CodingSystem106353757']
99,End user,CLOSELY_RELATED_TO,usability,"['Export_and_import_control', 'Computing_terminology']",['End user'],['person']
100,GOMS,CLOSELY_RELATED_TO,usability,[],['Goms'],['Thing']
101,Human processor model,CLOSELY_RELATED_TO,usability,['Human–computer_interaction'],['Human processor model'],['software']
102,Keystroke level model,CLOSELY_RELATED_TO,usability,['Human–computer_interaction'],['Keystroke-level model'],['Thing']
103,Usability inspection,CLOSELY_RELATED_TO,usability,['Usability_inspection'],['Usability inspection'],['Thing']
104,Recognition memory,CLOSELY_RELATED_TO,usability,['Memory_processes'],['Recognition memory'],['Activity100407535']
105,Recall (memory),CLOSELY_RELATED_TO,usability,['Memory_processes'],['Recall (memory)'],['Activity100407535']
106,Usability testing,CLOSELY_RELATED_TO,usability,"['Product_testing', 'Usability', 'Educational_technology', 'Software_testing']",['Usability testing'],['topical concept']
107,Accessibility,SEE_ALSO,usability,"['Accessibility', 'Urban_design', 'Ergonomics', 'Transportation_planning', 'Urban_studies_and_planning_terminology']",['Accessibility'],['Thing']
108,Chief experience officer,SEE_ALSO,usability,"['Corporate_executives', 'Management_occupations']",['Chief experience officer'],['person']
109,Chief experience officer,SEE_ALSO,usability,"['Corporate_executives', 'Management_occupations']",['Chief experience officer'],['person']
110,Design for All (inclusion),SEE_ALSO,usability,[],[],[]
111,Experience design,SEE_ALSO,usability,"['Human–computer_interaction', 'Industrial_design']",['Experience design'],['company']
112,Fitts's law,SEE_ALSO,usability,"['Motor_control', 'Human–computer_interaction']","[""Fitts's law""]",['person']
113,Form follows function,SEE_ALSO,usability,"['Aesthetics', 'Design', 'Industrial_design', 'Architectural_theory']",['Form follows function'],['agent']
114,Gemba,SEE_ALSO,usability,"['Japanese_business_terms', 'Management', 'Manufacturing', 'Production_and_manufacturing', 'Quality']",['Gemba'],['Thing']
115,GOMS,SEE_ALSO,usability,[],['Goms'],['Thing']
116,Gotcha (programming),SEE_ALSO,usability,"['Computer_programming_folklore', 'Programming_language_folklore']",['Gotcha (programming)'],['ProgrammingLanguage106898352']
117,GUI,SEE_ALSO,usability,[],['Gui'],['Part113809207']
118,Human factors,SEE_ALSO,usability,"['Ergonomics', 'Industrial_engineering', 'Occupational_safety_and_health', 'Systems_psychology']",['Human factors and ergonomics'],['company']
119,Information architecture,SEE_ALSO,usability,"['Information_technology', 'Information_architects', 'Enterprise_architecture', 'WikiProject_Information_Architecture', 'Data_management', 'Information_governance', 'Information_science', 'Information_technology_management', 'Records_management', 'Technical_communication']",['Information architecture'],['WikicatInformationArchitects']
120,Interaction design,SEE_ALSO,usability,"['Usability', 'Design', 'Human–computer_interaction', 'Multimodal_interaction', 'Technical_communication']",['Interaction design'],['CodingSystem106353757']
121,Interactive systems engineering,SEE_ALSO,usability,[],['Interactive systems engineering'],['Thing']
122,Internationalization,SEE_ALSO,usability,['International_trade_theory'],['Internationalization'],['Election']
123,Learnability,SEE_ALSO,usability,['Software_testing'],['Learnability'],['WikicatTests']
124,Machine-Readable Documents,SEE_ALSO,usability,[],[],[]
125,Natural mapping (interface design),SEE_ALSO,usability,"['Usability', 'Design']",['Natural mapping (interface design)'],['Thing']
126,Needs analysis,SEE_ALSO,usability,"['Usability', 'Ergonomics', 'Human–computer_interaction', 'Industrial_engineering', 'Systems_psychology', 'Software_requirements']",['Needs analysis'],['Election']
127,Non-functional requirement,SEE_ALSO,usability,[],[],[]
128,RITE method,SEE_ALSO,usability,[],[],[]
129,System Usability Scale,SEE_ALSO,usability,"['Usability', 'User_interfaces', '1986_introductions', 'Systems_engineering']",['System usability scale'],['aircraft']
130,Universal usability,SEE_ALSO,usability,['Usability'],['Universal usability'],['Thing']
131,Usability goals,SEE_ALSO,usability,"['Usability', 'Software_testing']",['Usability goals'],['WikicatTests']
132,Usability testing,SEE_ALSO,usability,"['Product_testing', 'Usability', 'Educational_technology', 'Software_testing']",['Usability testing'],['topical concept']
133,Usability engineering,SEE_ALSO,usability,['Usability'],['Usability engineering'],['Thing']
134,User experience,SEE_ALSO,usability,"['User_interfaces', 'Human–computer_interaction']",['User experience'],['Whole100003553']
135,User experience design,SEE_ALSO,usability,"['User_interfaces', 'Design', 'Human–computer_interaction', 'Software_development_process', 'Web_design']",['User experience design'],['Election']
136,Web usability,SEE_ALSO,usability,"['Usability', 'Web_design']",['Web usability'],['Thing']
137,World Usability Day,SEE_ALSO,usability,[],[],[]
138,Screen reader,CLOSELY_RELATED_TO,web accessibility,"['Screen_readers', 'Assistive_technology']",['Screen reader'],['software']
139,Refreshable braille display,CLOSELY_RELATED_TO,web accessibility,"['American_inventions', 'Braille_technology', 'Computer_accessibility', 'Haptic_technology']",['Refreshable braille display'],['device']
140,Braille,CLOSELY_RELATED_TO,web accessibility,"['1824_introductions', 'Assistive_technology', 'Augmentative_and_alternative_communication', 'Blindness', 'Braille', 'Character_sets', 'Digital_typography', 'French_inventions', 'Latin-alphabet_representations', 'Scripts_encoded_in_Unicode_3.0']",['Braille'],['WrittenCommunication106349220']
141,Screen magnifier,CLOSELY_RELATED_TO,web accessibility,"['Assistive_technology', 'Screen_magnifiers']",['Screen magnifier'],['software']
142,Speech recognition,CLOSELY_RELATED_TO,web accessibility,"['Automatic_identification_and_data_capture', 'Machine_learning_task', 'Computational_linguistics', 'Computer_accessibility', 'History_of_human–computer_interaction', 'Speech_recognition', 'User_interface_techniques']",['Speech recognition'],['Technique105665146']
143,Web Content Accessibility Guidelines,CLOSELY_RELATED_TO,web accessibility,[],[],[]
144,Web Accessibility Initiative,CLOSELY_RELATED_TO,web accessibility,[],[],[]
145,Web Content Accessibility Guidelines,CLOSELY_RELATED_TO,web accessibility,[],[],[]
146,UAAG,CLOSELY_RELATED_TO,web accessibility,[],[],[]
147,Accessible publishing,SEE_ALSO,web accessibility,"['Accessible_information', 'Publishing']",['Accessible publishing'],['organisation']
148,Augmentative and alternative communication,SEE_ALSO,web accessibility,"['Speech_and_language_pathology', 'Augmentative_and_alternative_communication']",['Augmentative and alternative communication'],['Thing']
149,Blue Beanie Day,SEE_ALSO,web accessibility,[],[],[]
150,Computer accessibility,SEE_ALSO,web accessibility,['Computer_accessibility'],['Computer accessibility'],['Whole100003553']
151,Device independence,SEE_ALSO,web accessibility,"['World_Wide_Web_Consortium', 'World_Wide_Web']",['Device independence'],['Election']
152,Digital divide,SEE_ALSO,web accessibility,"['Economic_geography', 'Global_inequality', 'Cultural_globalization', 'Digital_divide', 'Digital_media', 'Social_inequality', 'Technology_in_society', 'Rural_economics', 'Technology_development']",['Digital divide'],['Activity100407535']
153,European Internet Accessibility Observatory,SEE_ALSO,web accessibility,[],[],[]
154,Knowbility,SEE_ALSO,web accessibility,"['Organizations_established_in_1999', 'Companies_based_in_Austin,_Texas', 'Charities_based_in_Texas', 'American_disability_organizations']",['Knowbility'],['Non-governmental organization']
155,Maguire v Sydney Organising Committee for the Olympic Games (2000),SEE_ALSO,web accessibility,[],[],[]
156,Multimodal interaction,SEE_ALSO,web accessibility,['Multimodal_interaction'],['Multimodal interaction'],['Whole100003553']
157,Progressive enhancement,SEE_ALSO,web accessibility,"['Responsive_web_design', 'Usability', 'Web_accessibility', 'Web_design']",['Progressive enhancement'],['video game']
158,Universal design,SEE_ALSO,web accessibility,"['Accessibility', 'Accessible_building', 'Architectural_design', 'Design', 'Architectural_theory']",['Universal design'],['Thing']
159,Unobtrusive JavaScript,SEE_ALSO,web accessibility,[],[],[]
160,Web Accessibility Initiative,SEE_ALSO,web accessibility,[],[],[]
161,Web engineering,SEE_ALSO,web accessibility,"['Web_development', 'Software_engineering']",['Web engineering'],['Thing']
162,Web interoperability,SEE_ALSO,web accessibility,"['Interoperability', 'Web_design']",['Web interoperability'],['Thing']
163,Web literacy,SEE_ALSO,web accessibility,"['Computing_and_society', 'Literacy', 'Technology_in_society', 'World_Wide_Web']",['Web literacy'],['Thing']
164,Robots exclusion standard,CLOSELY_RELATED_TO,search engine optimization,['World_Wide_Web'],['Robots exclusion standard'],['CodingSystem106353757']
165,Blog network,SEE_ALSO,search engine optimization,['Blogging'],['Blog network'],['Band']
166,Search engine marketing,SEE_ALSO,search engine optimization,"['Internet_marketing', 'Internet_terminology']",['Search engine marketing'],['Technique105665146']
167,Search neutrality,SEE_ALSO,search engine optimization,"['Net_neutrality', 'Computer_law', 'Principles', 'Search_engine_optimization']",['Search neutrality'],['agent']
168,User intent,SEE_ALSO,search engine optimization,[],[],[]
169,Website promotion,SEE_ALSO,search engine optimization,"['E-commerce', 'Information_technology_management', 'Marketing', 'World_Wide_Web']",['Website promotion'],['Election']
170,White-box testing,CLOSELY_RELATED_TO,software testing,"['Hardware_testing', 'Software_testing']",['White-box testing'],['software']
171,API testing,CLOSELY_RELATED_TO,software testing,['Software_testing'],['API testing'],['software']
172,Application programming interfaces,CLOSELY_RELATED_TO,software testing,"['Application_programming_interfaces', 'Technical_communication']",['Application programming interface'],['Whole100003553']
173,Code coverage,CLOSELY_RELATED_TO,software testing,"['Software_metrics', 'Software_testing', 'Software_testing_tools']",['Code coverage'],['software']
174,Fault injection,CLOSELY_RELATED_TO,software testing,['Software_testing'],['Fault injection'],['topical concept']
175,Mutation testing,CLOSELY_RELATED_TO,software testing,['Software_testing'],['Mutation testing'],['Thing']
176,Static testing,CLOSELY_RELATED_TO,software testing,[],['Static testing'],['Thing']
177,Black-box testing,CLOSELY_RELATED_TO,software testing,"['Hardware_testing', 'Software_testing']",['Black-box testing'],['software']
178,Graphical user interface testing,CLOSELY_RELATED_TO,software testing,"['Graphical_user_interface_testing', 'Software_testing']",['Graphical user interface testing'],['Election']
179,Gray box testing,CLOSELY_RELATED_TO,software testing,"['Hardware_testing', 'Software_testing']",['Gray box testing'],['drug']
180,Unit testing,CLOSELY_RELATED_TO,software testing,"['Articles_with_example_Java_code', 'Extreme_programming', 'Software_testing', 'Unit_testing']",['Unit testing'],['software']
181,Integration testing,CLOSELY_RELATED_TO,software testing,"['Hardware_testing', 'Software_testing']",['Integration testing'],['military conflict']
182,System testing,CLOSELY_RELATED_TO,software testing,"['Hardware_testing', 'Software_testing', 'Systems_engineering']",['System testing'],['WikicatTests']
183,Acceptance testing,CLOSELY_RELATED_TO,software testing,"['Hardware_testing', 'Procurement', 'Software_testing']",['Acceptance testing'],['cricketer']
184,Installation testing,CLOSELY_RELATED_TO,software testing,['Software_testing'],['Installation testing'],['Thing']
185,Compatibility testing,CLOSELY_RELATED_TO,software testing,['Software_testing'],['Compatibility testing'],['Thing']
186,Smoke testing (software),CLOSELY_RELATED_TO,software testing,"['Tests', 'Software_testing']",['Smoke testing (software)'],['WikicatTests']
187,Regression testing,CLOSELY_RELATED_TO,software testing,"['Extreme_programming', 'Software_testing']",['Regression testing'],['software']
188,Acceptance testing,CLOSELY_RELATED_TO,software testing,"['Hardware_testing', 'Procurement', 'Software_testing']",['Acceptance testing'],['cricketer']
189,Continuous testing,CLOSELY_RELATED_TO,software testing,['Software_testing'],['Continuous testing'],['Election']
190,Destructive testing,CLOSELY_RELATED_TO,software testing,"['Product_testing', 'Earthquake_engineering', 'Mechanical_tests']",['Destructive testing'],['WikicatMechanicalTests']
191,Exception handling,CLOSELY_RELATED_TO,software testing,"['Control_flow', 'Software_anomalies']",['Exception handling'],['Election']
192,Recovery testing,CLOSELY_RELATED_TO,software testing,['Software_testing'],['Recovery testing'],['software']
193,Software performance testing,CLOSELY_RELATED_TO,software testing,"['Software_optimization', 'Software_testing']",['Software performance testing'],['Thing']
194,Americans with Disabilities Act of 1990,CLOSELY_RELATED_TO,software testing,[],[],[]
195,Section 508 Amendment to the Rehabilitation Act of 1973,CLOSELY_RELATED_TO,software testing,[],[],[]
196,Web Accessibility Initiative,CLOSELY_RELATED_TO,software testing,[],[],[]
197,World Wide Web Consortium,CLOSELY_RELATED_TO,software testing,"['Technology_consortia', 'Web_development', 'Web_services', 'World_Wide_Web_Consortium', 'Organizations_established_in_1994', 'Standards_organizations']",['World Wide Web Consortium'],['Standards organization']
198,String (computer science),CLOSELY_RELATED_TO,software testing,"['Algorithms_on_strings', 'Character_encoding', 'Combinatorics_on_words', 'Data_types', 'Formal_languages', 'Primitive_types', 'String_(computer_science)', 'Syntactic_entities']",['String (computer science)'],['Activity100407535']
199,Hard coding,CLOSELY_RELATED_TO,software testing,['Anti-patterns'],['Hard coding'],['Thing']
200,Run time (program lifecycle phase),CLOSELY_RELATED_TO,software testing,"['Computer_libraries', 'Computing_platforms', 'Computing_terminology']",['Run time (program lifecycle phase)'],['sports event']
201,Keyboard shortcut,CLOSELY_RELATED_TO,software testing,['User_interface_techniques'],['Keyboard shortcut'],['television show']
202,Keyboard layout,CLOSELY_RELATED_TO,software testing,['Keyboard_layouts'],['Keyboard layout'],['software']
203,Character encoding,CLOSELY_RELATED_TO,software testing,"['Character_encoding', 'Natural_language_and_computing']",['Character encoding'],['Measure100033615']
204,CJK characters,CLOSELY_RELATED_TO,software testing,[],[],[]
205,Bi-directional text,CLOSELY_RELATED_TO,software testing,[],[],[]
206,Configuration file,CLOSELY_RELATED_TO,software testing,['Configuration_files'],['Configuration file'],['Information105816287']
207,Environment variable,CLOSELY_RELATED_TO,software testing,"['Operating_system_technology', 'Environment_variables']",['Environment variable'],['Institution108053576']
208,Date and time notation by country,CLOSELY_RELATED_TO,software testing,"['Date_and_time_representation_by_country', 'Date_and_time_representation', 'Time_by_country']",['Date and time representation by country'],['Thing']
209,Currency,CLOSELY_RELATED_TO,software testing,"['Currency', 'Foreign_exchange_market']",['Currency'],['Thing']
210,Development testing,CLOSELY_RELATED_TO,software testing,['Software_testing'],['Development testing'],['Election']
211,A/B testing,CLOSELY_RELATED_TO,software testing,"['Experiments', 'Market_research', 'Software_testing']",['A/B testing'],['Activity100407535']
212,Concurrent testing,CLOSELY_RELATED_TO,software testing,['Software_testing'],['Concurrent testing'],['software']
213,Conformance testing,CLOSELY_RELATED_TO,software testing,"['Product_testing', 'Software_testing']",['Conformance testing'],['Thing']
214,Project management,CLOSELY_RELATED_TO,software testing,"['IEEE_standards', 'ISO/IEC_standards', 'Management', 'Project_management']",['Project management'],['sport']
215,Capability Maturity Model Integration,CLOSELY_RELATED_TO,software testing,"['Carnegie_Mellon_University_software', 'Maturity_models', 'Software_development_process', 'Standards']",['Capability Maturity Model Integration'],['organisation']
216,Waterfall model,CLOSELY_RELATED_TO,software testing,"['Design', 'Project_management', 'Software_development_philosophies']",['Waterfall model'],['Election']
