,Node1,Relation,Node2,Subject,Label,Entity
1507,Design director,CLOSELY_RELATED_TO,design education,"['Advertising_occupations', 'Arts_occupations', 'Communication_design', 'Design']",['Design director'],['person']
1508,Design elements and principles,CLOSELY_RELATED_TO,design education,['Design'],['Visual design elements and principles'],['Thing']
1509,Design engineer,CLOSELY_RELATED_TO,design education,"['Design_engineering', 'Design', 'Engineering_occupations']",['Design engineer'],['Activity100407535']
1510,Design firm,CLOSELY_RELATED_TO,design education,"['Architectural_design', 'Arts', 'Design']",['Design'],['organisation']
1511,Design history,CLOSELY_RELATED_TO,design education,"['Fashion_design', 'Design_history', 'Graphic_design', 'Industrial_design', 'Product_design']",['Design history'],['book']
1512,Design knowledge,CLOSELY_RELATED_TO,design education,['Design'],['Design knowledge'],['organisation']
1513,Design language,CLOSELY_RELATED_TO,design education,['Design'],['Design language'],['organisation']
1514,Design life,CLOSELY_RELATED_TO,design education,['Industrial_design'],['Design life'],['country']
1515,Design load,CLOSELY_RELATED_TO,design education,['Engineering_concepts'],['Design load'],['disease']
1516,Design museum,CLOSELY_RELATED_TO,design education,"['Types_of_museum', 'Design_museums']",['Design museum'],['museum']
1517,Design paradigm,CLOSELY_RELATED_TO,design education,['Design'],['Design paradigm'],['Thing']
1518,Design rationale,CLOSELY_RELATED_TO,design education,"['Software_design', 'Argument_mapping', 'Design']",['Design rationale'],['Thing']
1519,Design review,CLOSELY_RELATED_TO,design education,['Engineering'],['Design review'],['place']
1520,Design specification,CLOSELY_RELATED_TO,design education,['Product_development'],['Design specification'],['book']
1521,Design studies,CLOSELY_RELATED_TO,design education,[],[],[]
1522,Design studio,CLOSELY_RELATED_TO,design education,"['Automotive_industry', 'Design', 'Vehicle_design']",['Design studio'],['building']
1523,Design technology,CLOSELY_RELATED_TO,design education,"['Technology', 'Design']",['Design technology'],['book']
1524,Architectural design competition,CLOSELY_RELATED_TO,design education,"['Architectural_competitions', 'Architectural_design']",['Architectural design competition'],['soccer tournoment']
1525,Student design competition,CLOSELY_RELATED_TO,design education,"['Competitions', 'Student_events']",['Student design competition'],['Whole100003553']
1526,Glossary of education-related terms,CLOSELY_RELATED_TO,design education,[],[],[]
1527,Index of education articles,CLOSELY_RELATED_TO,design education,"['Wikipedia_indexes', 'Education-related_lists']",['Index of education articles'],['work']
1528,Outline of education,CLOSELY_RELATED_TO,design education,"['Education', 'Learning', 'Wikipedia_outlines']",['Outline of education'],['Boundary108512259']
1529,Educational aims and objectives,CLOSELY_RELATED_TO,design education,['Education_terminology'],['Educational aims and objectives'],['Thing']
1530,Educational anthropology,CLOSELY_RELATED_TO,design education,"['Anthropology', 'Comparative_education']",['Educational anthropology'],['Thing']
1531,Educational assessment,CLOSELY_RELATED_TO,design education,"['Academic_transfer', 'Educational_psychology', 'School_terminology', 'Standards-based_education', 'Thought', 'Educational_evaluation_methods']",['Educational assessment'],['Election']
1532,Education economics,CLOSELY_RELATED_TO,design education,['Education_economics'],['Education economics'],['book']
1533,Educational evaluation,CLOSELY_RELATED_TO,design education,"['Educational_assessment_and_evaluation', 'Educational_psychology', 'Educational_administration']",['Educational evaluation'],['Election']
1534,History of education,CLOSELY_RELATED_TO,design education,"['History_of_education', 'History_of_science_by_discipline']",['History of education'],['Thing']
1535,Educational leadership,CLOSELY_RELATED_TO,design education,['Educational_leadership'],['Educational leadership'],['Election']
1536,Philosophy of education,CLOSELY_RELATED_TO,design education,['Philosophy_of_education'],['Philosophy of education'],['Organization108008335']
1537,Education policy,CLOSELY_RELATED_TO,design education,"['Regulation', 'Educational_administration']",['Education policy'],['Thing']
1538,Politics in education,CLOSELY_RELATED_TO,design education,"['Education', 'Education_policy']",['Politics in education'],['Thing']
1539,Educational psychology,CLOSELY_RELATED_TO,design education,"['Applied_psychology', 'Attention_deficit_hyperactivity_disorder', 'Branches_of_psychology', 'Dyslexia', 'Educational_psychology']",['Educational psychology'],['organisation']
1540,Educational research,CLOSELY_RELATED_TO,design education,"['Educational_psychology', 'Educational_research']",['Educational research'],['Thing']
1541,Right to education,CLOSELY_RELATED_TO,design education,"['Human_rights_by_issue', 'Education_policy']",['Right to education'],['WikicatRights']
1542,Sociology of education,CLOSELY_RELATED_TO,design education,"['Sociology_of_education', 'Subfields_of_sociology']",['Sociology of education'],['book']
1543,Educational technology,CLOSELY_RELATED_TO,design education,"['Information_technology', 'Distance_education', 'E-learning', 'Education_terminology', 'Educational_psychology', 'Educational_technology', 'Virtual_learning_environments']",['Educational technology'],['Method105660268']
1544,Education theory,CLOSELY_RELATED_TO,design education,['Education_theory'],['Education theory'],['Thing']
1545,Types of educational institutions,CLOSELY_RELATED_TO,design education,['Educational_institutions'],['Educational institution'],['Thing']
1546,Agricultural education,CLOSELY_RELATED_TO,design education,['Agricultural_education'],['Agricultural education'],['university']
1547,Art education,CLOSELY_RELATED_TO,design education,['Art_education'],['Visual arts education'],['place']
1548,Bilingual education,CLOSELY_RELATED_TO,design education,"['Multilingualism', 'Education_by_subject', 'Linguistic_rights', 'Bilingual_education', 'Bilingualism']",['Bilingual education'],['Concept105835747']
