,Node1,Relation,Node2
20257,behavior change (public health),SUBJECT,human behavior
20258,behavior change (public health),SUBJECT,public health
20259,behavioural change theories,CLOSELY_RELATED_TO,human factors
20260,behavioural change theories,SUBJECT,behavior modification
20261,behavioural change theories,CLOSELY_RELATED_TO,human factors
20262,behavioural change theories,SUBJECT,behavior modification
20263,family planning,CLOSELY_RELATED_TO,human factors
20264,family planning,SUBJECT,parenting
20265,family planning,SUBJECT,demography
20266,family planning,SUBJECT,midwifery
20267,family planning,SUBJECT,personal development
20268,family planning,SUBJECT,population
20269,family planning,SUBJECT,family planning
20270,health promotion,CLOSELY_RELATED_TO,human factors
20271,health promotion,SUBJECT,health promotion
20272,health promotion,SUBJECT,health policy
20273,health promotion,SUBJECT,public health education
20274,human nutrition,CLOSELY_RELATED_TO,human factors
20275,human nutrition,SUBJECT,applied sciences
20276,human nutrition,SUBJECT,food science
20277,human nutrition,SUBJECT,home economics
20278,human nutrition,SUBJECT,nutrition
20279,human nutrition,SUBJECT,self care
20280,healthy diet,CLOSELY_RELATED_TO,human factors
20281,healthy diet,SUBJECT,dietetics
20282,healthy diet,SUBJECT,diets
20283,preventive nutrition,CLOSELY_RELATED_TO,human factors
20284,healthy diet,CLOSELY_RELATED_TO,human factors
20285,healthy diet,SUBJECT,dietetics
20286,healthy diet,SUBJECT,diets
20287,preventive nutrition,CLOSELY_RELATED_TO,human factors
20288,hygiene,CLOSELY_RELATED_TO,human factors
20289,hygiene,SUBJECT,bathrooms
20290,hygiene,SUBJECT,hygiene
20291,hygiene,SUBJECT,medical hygiene
20292,hygiene,SUBJECT,sanitation
20293,food safety,CLOSELY_RELATED_TO,human factors
20294,food safety,SUBJECT,food safety
20295,hand washing,CLOSELY_RELATED_TO,human factors
20296,hand washing,SUBJECT,hygiene
20297,hand washing,SUBJECT,articles containing video clips
20298,hand washing,SUBJECT,medical hygiene
20299,infection control,CLOSELY_RELATED_TO,human factors
20300,infection control,SUBJECT,epidemiology
20301,infection control,SUBJECT,infectious diseases
20302,infection control,SUBJECT,medical hygiene
20303,infection control,SUBJECT,public health
20304,oral hygiene,CLOSELY_RELATED_TO,human factors
20305,oral hygiene,SUBJECT,oral hygiene
20306,oral hygiene,SUBJECT,periodontology
20307,food safety,CLOSELY_RELATED_TO,human factors
20308,food safety,SUBJECT,food safety
20309,hand washing,CLOSELY_RELATED_TO,human factors
20310,hand washing,SUBJECT,hygiene
20311,hand washing,SUBJECT,articles containing video clips
20312,hand washing,SUBJECT,medical hygiene
20313,infection control,CLOSELY_RELATED_TO,human factors
20314,infection control,SUBJECT,epidemiology
20315,infection control,SUBJECT,infectious diseases
20316,infection control,SUBJECT,medical hygiene
20317,infection control,SUBJECT,public health
20318,oral hygiene,CLOSELY_RELATED_TO,human factors
20319,oral hygiene,SUBJECT,oral hygiene
20320,oral hygiene,SUBJECT,periodontology
20321,occupational safety and health,CLOSELY_RELATED_TO,human factors
20322,occupational safety and health,SUBJECT,industrial hygiene
20323,occupational safety and health,SUBJECT,safety engineering
20324,occupational safety and health,SUBJECT,environmental social science
20325,occupational safety and health,SUBJECT,occupational safety and health
20326,occupational safety and health,SUBJECT,risk management
20327,occupational safety and health,SUBJECT,working conditions
20328,occupational hygiene,CLOSELY_RELATED_TO,human factors
20329,occupational hygiene,SUBJECT,industrial hygiene
20330,occupational hygiene,SUBJECT,exposure assessment
20331,occupational hygiene,SUBJECT,health sciences
20332,occupational hygiene,SUBJECT,occupational safety and health
20333,injury prevention,CLOSELY_RELATED_TO,human factors
20334,injury prevention,SUBJECT,safety
20335,injury prevention,SUBJECT,biostatistics
20336,injury prevention,SUBJECT,public health
20337,injury prevention,SUBJECT,working conditions
20338,occupational medicine,CLOSELY_RELATED_TO,human factors
20339,occupational medicine,SUBJECT,medical specialties
20340,occupational medicine,SUBJECT,occupational diseases
20341,occupational medicine,SUBJECT,occupational safety and health
20342,occupational health nursing,CLOSELY_RELATED_TO,human factors
20343,occupational health nursing,SUBJECT,nursing specialties
20344,occupational health nursing,SUBJECT,occupational safety and health
20345,occupational health nursing,SUBJECT,public health
20346,occupational hygiene,CLOSELY_RELATED_TO,human factors
20347,occupational hygiene,SUBJECT,industrial hygiene
20348,occupational hygiene,SUBJECT,exposure assessment
20349,occupational hygiene,SUBJECT,health sciences
20350,occupational hygiene,SUBJECT,occupational safety and health
20351,injury prevention,CLOSELY_RELATED_TO,human factors
20352,injury prevention,SUBJECT,safety
20353,injury prevention,SUBJECT,biostatistics
20354,injury prevention,SUBJECT,public health
20355,injury prevention,SUBJECT,working conditions
20356,occupational medicine,CLOSELY_RELATED_TO,human factors
20357,occupational medicine,SUBJECT,medical specialties
20358,occupational medicine,SUBJECT,occupational diseases
20359,occupational medicine,SUBJECT,occupational safety and health
20360,occupational health nursing,CLOSELY_RELATED_TO,human factors
20361,occupational health nursing,SUBJECT,nursing specialties
20362,occupational health nursing,SUBJECT,occupational safety and health
20363,occupational health nursing,SUBJECT,public health
20364,patient safety,CLOSELY_RELATED_TO,human factors
20365,patient safety,SUBJECT,nursing
20366,patient safety,SUBJECT,healthcare quality
20367,patient safety,SUBJECT,medical ethics
20368,patient safety,SUBJECT,medical terminology
20369,patient safety,SUBJECT,medical treatments
20370,patient safety,SUBJECT,evidence-based practices
20371,patient safety,SUBJECT,hospice
20372,patient safety,SUBJECT,patient safety
20373,patient safety organization,CLOSELY_RELATED_TO,human factors
20374,patient safety organization,SUBJECT,health care
20375,patient safety organization,SUBJECT,patient safety
20376,patient safety organization,CLOSELY_RELATED_TO,human factors
20377,patient safety organization,SUBJECT,health care
20378,patient safety organization,SUBJECT,patient safety
20379,pharmacovigilance,CLOSELY_RELATED_TO,human factors
20380,pharmacovigilance,SUBJECT,clinical trials
20381,pharmacovigilance,SUBJECT,clinical research
20382,pharmacovigilance,SUBJECT,healthcare quality
20383,pharmacovigilance,SUBJECT,pharmaceuticals policy
20384,pharmacovigilance,SUBJECT,drug safety
20385,safe sex,CLOSELY_RELATED_TO,human factors
20386,safe sex,SUBJECT,sex education
20387,safe sex,SUBJECT,birth control
20388,safe sex,SUBJECT,hiv/aids
20389,safe sex,SUBJECT,midwifery
20390,safe sex,SUBJECT,prevention
20391,safe sex,SUBJECT,prevention of hiv/aids
20392,safe sex,SUBJECT,sexual health
20393,sanitation,CLOSELY_RELATED_TO,human factors
20394,sanitation,SUBJECT,hygiene
20395,sanitation,SUBJECT,sewerage
20396,sanitation,SUBJECT,water supply and sanitation by country
20397,sanitation,SUBJECT,articles containing video clips
20398,sanitation,SUBJECT,public health
20399,sanitation,SUBJECT,sanitation
20400,emergency sanitation,CLOSELY_RELATED_TO,human factors
20401,fecal–oral route,CLOSELY_RELATED_TO,human factors
20402,fecal–oral route,SUBJECT,parasitology
20403,fecal–oral route,SUBJECT,infectious diseases
20404,fecal–oral route,SUBJECT,sanitation
20405,open defecation,CLOSELY_RELATED_TO,human factors
20406,open defecation,SUBJECT,hygiene
20407,open defecation,SUBJECT,water supply and sanitation by country
20408,open defecation,SUBJECT,public health
20409,open defecation,SUBJECT,sanitation
20410,sanitary sewer,CLOSELY_RELATED_TO,human factors
20411,sanitary sewer,SUBJECT,water pollution
20412,sanitary sewer,SUBJECT,environmental engineering
20413,sanitary sewer,SUBJECT,sewerage infrastructure
20414,waterborne diseases,CLOSELY_RELATED_TO,human factors
20415,waterborne diseases,SUBJECT,drinking water
20416,waterborne diseases,SUBJECT,sanitation
20417,waterborne diseases,SUBJECT,waterborne diseases
20418,emergency sanitation,CLOSELY_RELATED_TO,human factors
20419,fecal–oral route,CLOSELY_RELATED_TO,human factors
20420,fecal–oral route,SUBJECT,parasitology
20421,fecal–oral route,SUBJECT,infectious diseases
20422,fecal–oral route,SUBJECT,sanitation
20423,open defecation,CLOSELY_RELATED_TO,human factors
20424,open defecation,SUBJECT,hygiene
20425,open defecation,SUBJECT,water supply and sanitation by country
20426,open defecation,SUBJECT,public health
20427,open defecation,SUBJECT,sanitation
20428,sanitary sewer,CLOSELY_RELATED_TO,human factors
20429,sanitary sewer,SUBJECT,water pollution
20430,sanitary sewer,SUBJECT,environmental engineering
20431,sanitary sewer,SUBJECT,sewerage infrastructure
20432,waterborne diseases,CLOSELY_RELATED_TO,human factors
20433,waterborne diseases,SUBJECT,drinking water
20434,waterborne diseases,SUBJECT,sanitation
20435,waterborne diseases,SUBJECT,waterborne diseases
20436,school hygiene,CLOSELY_RELATED_TO,human factors
20437,school hygiene,SUBJECT,medical hygiene
20438,school hygiene,SUBJECT,schools programs
20439,smoking cessation,CLOSELY_RELATED_TO,human factors
20440,smoking cessation,SUBJECT,general practice
20441,smoking cessation,SUBJECT,drug rehabilitation
20442,smoking cessation,SUBJECT,smoking cessation
20443,vaccination,CLOSELY_RELATED_TO,human factors
20444,vaccination,SUBJECT,vaccination
20445,vaccination,SUBJECT,biotechnology
20446,vaccination,SUBJECT,preventive medicine
20447,vector control,CLOSELY_RELATED_TO,human factors
20448,vector control,SUBJECT,epidemiology
20449,vector control,SUBJECT,pest control
20450,behavioural change theories,CLOSELY_RELATED_TO,human factors
20451,behavioural change theories,SUBJECT,behavior modification
20452,healthy diet,CLOSELY_RELATED_TO,human factors
20453,healthy diet,SUBJECT,dietetics
20454,healthy diet,SUBJECT,diets
20455,preventive nutrition,CLOSELY_RELATED_TO,human factors
20456,food safety,CLOSELY_RELATED_TO,human factors
20457,food safety,SUBJECT,food safety
20458,hand washing,CLOSELY_RELATED_TO,human factors
20459,hand washing,SUBJECT,hygiene
20460,hand washing,SUBJECT,articles containing video clips
20461,hand washing,SUBJECT,medical hygiene
20462,infection control,CLOSELY_RELATED_TO,human factors
