,Node1,Relation,Node2
6119,model selection,SUBJECT,statistical models
6120,model selection,SUBJECT,statistical theory
6121,model selection,SUBJECT,regression variable selection
6122,cross-validation (statistics),CLOSELY_RELATED_TO,chemometrics
6123,akaike information criterion,CLOSELY_RELATED_TO,chemometrics
6124,akaike information criterion,SUBJECT,model selection
6125,akaike information criterion,SUBJECT,scientific modeling
6126,akaike information criterion,SUBJECT,regression variable selection
6127,bayesian information criterion,CLOSELY_RELATED_TO,chemometrics
6128,bayesian information criterion,SUBJECT,bayesian inference
6129,bayesian information criterion,SUBJECT,model selection
6130,bayesian information criterion,SUBJECT,regression variable selection
6131,cross-validation (statistics),CLOSELY_RELATED_TO,chemometrics
6132,akaike information criterion,CLOSELY_RELATED_TO,chemometrics
6133,akaike information criterion,SUBJECT,model selection
6134,akaike information criterion,SUBJECT,scientific modeling
6135,akaike information criterion,SUBJECT,regression variable selection
6136,bayesian information criterion,CLOSELY_RELATED_TO,chemometrics
6137,bayesian information criterion,SUBJECT,bayesian inference
6138,bayesian information criterion,SUBJECT,model selection
6139,bayesian information criterion,SUBJECT,regression variable selection
6140,cross-validation (statistics),CLOSELY_RELATED_TO,chemometrics
6141,akaike information criterion,CLOSELY_RELATED_TO,chemometrics
6142,akaike information criterion,SUBJECT,model selection
6143,akaike information criterion,SUBJECT,scientific modeling
6144,akaike information criterion,SUBJECT,regression variable selection
6145,bayesian information criterion,CLOSELY_RELATED_TO,chemometrics
6146,bayesian information criterion,SUBJECT,bayesian inference
6147,bayesian information criterion,SUBJECT,model selection
6148,bayesian information criterion,SUBJECT,regression variable selection
6149,sign test,CLOSELY_RELATED_TO,chemometrics
6150,sign test,SUBJECT,nonparametric statistics
6151,sign test,SUBJECT,statistical tests
6152,sample median,CLOSELY_RELATED_TO,chemometrics
6153,sample median,SUBJECT,means
6154,sample median,SUBJECT,robust statistics
6155,sample median,CLOSELY_RELATED_TO,chemometrics
6156,sample median,SUBJECT,means
6157,sample median,SUBJECT,robust statistics
6158,wilcoxon signed-rank test,CLOSELY_RELATED_TO,chemometrics
6159,wilcoxon signed-rank test,SUBJECT,nonparametric statistics
6160,wilcoxon signed-rank test,SUBJECT,statistical tests
6161,wilcoxon signed-rank test,SUBJECT,u-statistics
6162,hodges–lehmann estimator,CLOSELY_RELATED_TO,chemometrics
